ADC,Temperatura
0,15000
1,15000
2,15000
3,15000
4,15000
5,15000
6,15000
7,15000
8,15000
9,15000
10,15000
11,15000
12,15000
13,15000
14,15000
15,15000
16,15000
17,15000
18,15000
19,15000
20,15000
21,15000
22,15000
23,15000
24,15000
25,15000
26,15000
27,15000
28,15000
29,15000
30,15000
31,15000
32,15000
33,15000
34,15000
35,15000
36,15000
37,15000
38,15000
39,15000
40,15000
41,15000
42,15000
43,15000
44,15000
45,15000
46,15000
47,15000
48,15000
49,15000
50,15000
51,15000
52,15000
53,15000
54,15000
55,15000
56,15000
57,15000
58,15000
59,15000
60,15000
61,15000
62,15000
63,15000
64,15000
65,15000
66,15000
67,15000
68,15000
69,15000
70,15000
71,15000
72,15000
73,15000
74,15000
75,15000
76,15000
77,15000
78,15000
79,15000
80,15000
81,15000
82,15000
83,15000
84,15000
85,15000
86,15000
87,15000
88,15000
89,15000
90,15000
91,15000
92,15000
93,15000
94,15000
95,15000
96,15000
97,15000
98,15000
99,15000
100,15000
101,15000
102,15000
103,15000
104,15000
105,15000
106,15000
107,15000
108,15000
109,15000
110,15000
111,15000
112,15000
113,15000
114,15000
115,15000
116,15000
117,15000
118,15000
119,15000
120,15000
121,15000
122,15000
123,15000
124,15000
125,15000
126,15000
127,15000
128,15000
129,15000
130,15000
131,15000
132,15000
133,15000
134,15000
135,15000
136,15000
137,15000
138,15000
139,15000
140,15000
141,15000
142,15000
143,15000
144,15000
145,15000
146,15000
147,15000
148,15000
149,15000
150,15000
151,15000
152,15000
153,15000
154,15000
155,15000
156,15000
157,15000
158,15000
159,15000
160,15000
161,15000
162,15000
163,15000
164,15000
165,15000
166,15000
167,15000
168,15000
169,15000
170,15000
171,15000
172,15000
173,15000
174,15000
175,15000
176,15000
177,15000
178,15000
179,15000
180,15000
181,15000
182,15000
183,15000
184,15000
185,15000
186,15000
187,15000
188,15000
189,15000
190,15000
191,15000
192,15000
193,15000
194,15000
195,15000
196,15000
197,15000
198,15000
199,15000
200,15000
201,15000
202,15000
203,15000
204,15000
205,15000
206,15000
207,15000
208,15000
209,15000
210,15000
211,15000
212,15000
213,15000
214,15000
215,15000
216,15000
217,15000
218,15000
219,15000
220,15000
221,15000
222,15000
223,15000
224,15000
225,15000
226,15000
227,15000
228,15000
229,15000
230,15000
231,15000
232,15000
233,15000
234,15000
235,15000
236,15000
237,15000
238,15000
239,15000
240,15000
241,15000
242,15000
243,15000
244,15000
245,15000
246,15000
247,15000
248,15000
249,15000
250,15000
251,15000
252,15000
253,15000
254,15000
255,15000
256,15000
257,15000
258,15000
259,15000
260,15000
261,15000
262,15000
263,15000
264,15000
265,15000
266,15000
267,15000
268,15000
269,15000
270,15000
271,15000
272,15000
273,15000
274,15000
275,15000
276,15000
277,15000
278,15000
279,15000
280,15000
281,15000
282,15000
283,15000
284,15000
285,15000
286,15000
287,15000
288,15000
289,15000
290,15000
291,15000
292,15000
293,15000
294,15000
295,15000
296,15000
297,15000
298,15000
299,15000
300,15000
301,15000
302,15000
303,15000
304,15000
305,15000
306,15000
307,15000
308,15000
309,15000
310,15000
311,15000
312,15000
313,15000
314,15000
315,15000
316,15000
317,15000
318,15000
319,15000
320,15000
321,15000
322,15000
323,15000
324,15000
325,15000
326,15000
327,15000
328,15000
329,15000
330,15000
331,15000
332,15000
333,15000
334,15000
335,15000
336,15000
337,15000
338,15000
339,15000
340,15000
341,15000
342,15000
343,15000
344,15000
345,15000
346,15000
347,15000
348,15000
349,15000
350,15000
351,15000
352,15000
353,15000
354,15000
355,15000
356,15000
357,15000
358,15000
359,15000
360,15000
361,15000
362,15000
363,15000
364,15000
365,15000
366,15000
367,15000
368,15000
369,15000
370,15000
371,15000
372,15000
373,15000
374,15000
375,15000
376,15000
377,15000
378,15000
379,15000
380,15000
381,15000
382,15000
383,15000
384,15000
385,15000
386,15000
387,15000
388,15000
389,15000
390,15000
391,15000
392,15000
393,15000
394,15000
395,14995
396,14986
397,14976
398,14967
399,14957
400,14948
401,14939
402,14929
403,14920
404,14911
405,14901
406,14892
407,14882
408,14873
409,14864
410,14854
411,14845
412,14836
413,14826
414,14817
415,14807
416,14798
417,14789
418,14779
419,14770
420,14761
421,14751
422,14742
423,14732
424,14723
425,14714
426,14704
427,14695
428,14686
429,14676
430,14667
431,14657
432,14648
433,14639
434,14629
435,14620
436,14611
437,14601
438,14592
439,14582
440,14573
441,14564
442,14554
443,14545
444,14535
445,14526
446,14517
447,14507
448,14498
449,14489
450,14479
451,14470
452,14460
453,14451
454,14442
455,14432
456,14423
457,14414
458,14404
459,14395
460,14385
461,14376
462,14367
463,14357
464,14348
465,14339
466,14329
467,14320
468,14310
469,14301
470,14292
471,14282
472,14273
473,14264
474,14254
475,14245
476,14235
477,14226
478,14217
479,14207
480,14198
481,14189
482,14179
483,14170
484,14160
485,14151
486,14142
487,14132
488,14123
489,14114
490,14104
491,14095
492,14085
493,14076
494,14067
495,14057
496,14048
497,14039
498,14029
499,14020
500,14010
501,14001
502,13992
503,13982
504,13973
505,13964
506,13954
507,13945
508,13935
509,13926
510,13917
511,13907
512,13898
513,13889
514,13879
515,13870
516,13860
517,13851
518,13842
519,13832
520,13823
521,13813
522,13804
523,13795
524,13785
525,13776
526,13767
527,13757
528,13748
529,13738
530,13729
531,13720
532,13710
533,13701
534,13692
535,13682
536,13673
537,13663
538,13654
539,13645
540,13635
541,13626
542,13617
543,13607
544,13598
545,13588
546,13579
547,13570
548,13560
549,13551
550,13542
551,13532
552,13523
553,13513
554,13504
555,13495
556,13485
557,13476
558,13467
559,13457
560,13448
561,13438
562,13429
563,13420
564,13410
565,13401
566,13392
567,13382
568,13373
569,13363
570,13354
571,13345
572,13335
573,13326
574,13317
575,13307
576,13298
577,13288
578,13279
579,13270
580,13260
581,13251
582,13242
583,13232
584,13223
585,13213
586,13204
587,13195
588,13185
589,13176
590,13167
591,13157
592,13148
593,13138
594,13129
595,13120
596,13110
597,13101
598,13091
599,13082
600,13073
601,13063
602,13054
603,13045
604,13035
605,13026
606,13016
607,13007
608,12998
609,12988
610,12979
611,12970
612,12960
613,12951
614,12941
615,12932
616,12923
617,12913
618,12904
619,12895
620,12885
621,12876
622,12866
623,12857
624,12848
625,12838
626,12829
627,12820
628,12810
629,12801
630,12791
631,12782
632,12773
633,12763
634,12754
635,12745
636,12735
637,12726
638,12716
639,12707
640,12698
641,12688
642,12679
643,12670
644,12660
645,12651
646,12641
647,12632
648,12623
649,12613
650,12604
651,12595
652,12585
653,12576
654,12566
655,12557
656,12548
657,12538
658,12529
659,12520
660,12510
661,12501
662,12491
663,12482
664,12473
665,12463
666,12454
667,12445
668,12435
669,12426
670,12416
671,12407
672,12398
673,12388
674,12379
675,12369
676,12360
677,12351
678,12341
679,12332
680,12323
681,12313
682,12304
683,12294
684,12285
685,12276
686,12266
687,12257
688,12248
689,12238
690,12229
691,12219
692,12210
693,12201
694,12191
695,12182
696,12173
697,12163
698,12154
699,12144
700,12135
701,12126
702,12116
703,12107
704,12098
705,12088
706,12079
707,12069
708,12060
709,12051
710,12041
711,12032
712,12023
713,12013
714,12004
715,11994
716,11985
717,11976
718,11966
719,11957
720,11948
721,11938
722,11929
723,11919
724,11910
725,11901
726,11891
727,11882
728,11873
729,11863
730,11854
731,11844
732,11835
733,11826
734,11816
735,11807
736,11798
737,11788
738,11779
739,11769
740,11760
741,11751
742,11741
743,11732
744,11723
745,11713
746,11704
747,11694
748,11685
749,11676
750,11666
751,11657
752,11648
753,11638
754,11629
755,11619
756,11610
757,11601
758,11591
759,11582
760,11572
761,11563
762,11554
763,11544
764,11535
765,11526
766,11516
767,11507
768,11497
769,11488
770,11479
771,11469
772,11460
773,11451
774,11441
775,11432
776,11422
777,11413
778,11404
779,11394
780,11385
781,11376
782,11366
783,11357
784,11347
785,11338
786,11329
787,11319
788,11310
789,11301
790,11291
791,11282
792,11272
793,11263
794,11254
795,11244
796,11235
797,11226
798,11216
799,11207
800,11197
801,11188
802,11179
803,11169
804,11160
805,11151
806,11141
807,11132
808,11122
809,11113
810,11104
811,11094
812,11085
813,11076
814,11066
815,11057
816,11047
817,11038
818,11029
819,11019
820,11010
821,11001
822,10991
823,10982
824,10972
825,10963
826,10954
827,10944
828,10935
829,10926
830,10916
831,10907
832,10897
833,10888
834,10879
835,10869
836,10860
837,10850
838,10841
839,10832
840,10822
841,10813
842,10804
843,10794
844,10785
845,10775
846,10766
847,10757
848,10747
849,10738
850,10729
851,10719
852,10710
853,10700
854,10691
855,10682
856,10672
857,10663
858,10654
859,10644
860,10635
861,10625
862,10616
863,10607
864,10597
865,10588
866,10579
867,10569
868,10560
869,10550
870,10541
871,10532
872,10522
873,10513
874,10504
875,10494
876,10485
877,10475
878,10466
879,10457
880,10447
881,10438
882,10429
883,10419
884,10410
885,10400
886,10391
887,10382
888,10372
889,10363
890,10354
891,10344
892,10335
893,10325
894,10316
895,10307
896,10297
897,10288
898,10279
899,10269
900,10260
901,10250
902,10241
903,10232
904,10222
905,10213
906,10204
907,10194
908,10185
909,10175
910,10166
911,10157
912,10147
913,10138
914,10128
915,10119
916,10110
917,10100
918,10091
919,10082
920,10072
921,10063
922,10053
923,10044
924,10035
925,10025
926,10016
927,10007
928,9997
929,9988
930,9978
931,9969
932,9960
933,9950
934,9941
935,9932
936,9922
937,9913
938,9903
939,9894
940,9885
941,9875
942,9866
943,9857
944,9847
945,9838
946,9828
947,9819
948,9810
949,9800
950,9791
951,9782
952,9772
953,9763
954,9753
955,9744
956,9735
957,9725
958,9716
959,9707
960,9697
961,9688
962,9678
963,9669
964,9660
965,9650
966,9641
967,9632
968,9622
969,9613
970,9603
971,9594
972,9585
973,9575
974,9566
975,9557
976,9547
977,9538
978,9528
979,9519
980,9510
981,9500
982,9491
983,9482
984,9472
985,9463
986,9453
987,9444
988,9435
989,9425
990,9416
991,9406
992,9397
993,9388
994,9378
995,9369
996,9360
997,9350
998,9341
999,9331
1000,9322
1001,9313
1002,9303
1003,9294
1004,9285
1005,9275
1006,9266
1007,9256
1008,9247
1009,9238
1010,9228
1011,9219
1012,9210
1013,9200
1014,9191
1015,9181
1016,9172
1017,9163
1018,9153
1019,9144
1020,9135
1021,9125
1022,9116
1023,9106
1024,9097
1025,9088
1026,9078
1027,9069
1028,9060
1029,9050
1030,9041
1031,9031
1032,9022
1033,9013
1034,9003
1035,8994
1036,8985
1037,8975
1038,8966
1039,8956
1040,8947
1041,8938
1042,8928
1043,8919
1044,8910
1045,8900
1046,8891
1047,8881
1048,8872
1049,8863
1050,8853
1051,8844
1052,8835
1053,8825
1054,8816
1055,8806
1056,8797
1057,8788
1058,8778
1059,8769
1060,8760
1061,8750
1062,8741
1063,8731
1064,8722
1065,8713
1066,8703
1067,8694
1068,8685
1069,8675
1070,8666
1071,8656
1072,8647
1073,8638
1074,8628
1075,8619
1076,8609
1077,8600
1078,8591
1079,8581
1080,8572
1081,8563
1082,8553
1083,8544
1084,8534
1085,8525
1086,8516
1087,8506
1088,8497
1089,8488
1090,8478
1091,8469
1092,8459
1093,8450
1094,8441
1095,8431
1096,8422
1097,8413
1098,8403
1099,8394
1100,8384
1101,8375
1102,8366
1103,8356
1104,8347
1105,8338
1106,8328
1107,8319
1108,8309
1109,8300
1110,8291
1111,8281
1112,8272
1113,8263
1114,8253
1115,8244
1116,8234
1117,8225
1118,8216
1119,8206
1120,8197
1121,8188
1122,8178
1123,8169
1124,8159
1125,8150
1126,8141
1127,8131
1128,8122
1129,8113
1130,8103
1131,8094
1132,8084
1133,8075
1134,8066
1135,8056
1136,8047
1137,8038
1138,8028
1139,8019
1140,8009
1141,8000
1142,7998
1143,7997
1144,7995
1145,7993
1146,7992
1147,7990
1148,7988
1149,7986
1150,7985
1151,7983
1152,7981
1153,7980
1154,7978
1155,7976
1156,7975
1157,7973
1158,7971
1159,7970
1160,7968
1161,7966
1162,7964
1163,7963
1164,7961
1165,7959
1166,7958
1167,7956
1168,7954
1169,7953
1170,7951
1171,7949
1172,7948
1173,7946
1174,7944
1175,7942
1176,7941
1177,7939
1178,7937
1179,7936
1180,7934
1181,7932
1182,7931
1183,7929
1184,7927
1185,7926
1186,7924
1187,7922
1188,7920
1189,7919
1190,7917
1191,7915
1192,7914
1193,7912
1194,7910
1195,7909
1196,7907
1197,7905
1198,7903
1199,7902
1200,7900
1201,7897
1202,7894
1203,7890
1204,7887
1205,7884
1206,7881
1207,7877
1208,7874
1209,7871
1210,7867
1211,7864
1212,7861
1213,7858
1214,7854
1215,7851
1216,7848
1217,7844
1218,7841
1219,7838
1220,7835
1221,7831
1222,7828
1223,7825
1224,7822
1225,7818
1226,7815
1227,7812
1228,7808
1229,7805
1230,7802
1231,7799
1232,7795
1233,7792
1234,7789
1235,7785
1236,7782
1237,7779
1238,7776
1239,7772
1240,7769
1241,7766
1242,7763
1243,7759
1244,7756
1245,7753
1246,7749
1247,7746
1248,7743
1249,7740
1250,7736
1251,7733
1252,7730
1253,7726
1254,7723
1255,7720
1256,7717
1257,7713
1258,7710
1259,7707
1260,7703
1261,7700
1262,7697
1263,7694
1264,7690
1265,7687
1266,7684
1267,7681
1268,7677
1269,7674
1270,7671
1271,7667
1272,7664
1273,7661
1274,7658
1275,7654
1276,7651
1277,7648
1278,7644
1279,7641
1280,7638
1281,7635
1282,7631
1283,7628
1284,7625
1285,7622
1286,7618
1287,7615
1288,7612
1289,7608
1290,7605
1291,7602
1292,7599
1293,7595
1294,7592
1295,7589
1296,7585
1297,7582
1298,7579
1299,7576
1300,7572
1301,7569
1302,7566
1303,7563
1304,7559
1305,7556
1306,7553
1307,7549
1308,7546
1309,7543
1310,7540
1311,7536
1312,7533
1313,7530
1314,7526
1315,7523
1316,7520
1317,7517
1318,7513
1319,7510
1320,7507
1321,7503
1322,7500
1323,7497
1324,7494
1325,7490
1326,7487
1327,7484
1328,7481
1329,7477
1330,7474
1331,7471
1332,7467
1333,7464
1334,7461
1335,7458
1336,7454
1337,7451
1338,7448
1339,7444
1340,7441
1341,7438
1342,7435
1343,7431
1344,7428
1345,7425
1346,7422
1347,7418
1348,7415
1349,7412
1350,7408
1351,7405
1352,7402
1353,7399
1354,7395
1355,7392
1356,7389
1357,7385
1358,7382
1359,7379
1360,7376
1361,7372
1362,7369
1363,7366
1364,7363
1365,7359
1366,7356
1367,7353
1368,7349
1369,7346
1370,7343
1371,7340
1372,7336
1373,7333
1374,7330
1375,7326
1376,7323
1377,7320
1378,7317
1379,7313
1380,7310
1381,7307
1382,7303
1383,7300
1384,7297
1385,7294
1386,7290
1387,7287
1388,7284
1389,7281
1390,7277
1391,7274
1392,7271
1393,7267
1394,7264
1395,7261
1396,7258
1397,7254
1398,7251
1399,7248
1400,7244
1401,7241
1402,7238
1403,7235
1404,7231
1405,7228
1406,7225
1407,7222
1408,7218
1409,7215
1410,7212
1411,7208
1412,7205
1413,7202
1414,7199
1415,7195
1416,7192
1417,7189
1418,7185
1419,7182
1420,7179
1421,7176
1422,7172
1423,7169
1424,7166
1425,7163
1426,7159
1427,7156
1428,7153
1429,7149
1430,7146
1431,7143
1432,7140
1433,7136
1434,7133
1435,7130
1436,7126
1437,7123
1438,7120
1439,7117
1440,7113
1441,7110
1442,7107
1443,7103
1444,7100
1445,7097
1446,7094
1447,7090
1448,7087
1449,7084
1450,7081
1451,7077
1452,7074
1453,7071
1454,7067
1455,7064
1456,7061
1457,7058
1458,7054
1459,7051
1460,7048
1461,7044
1462,7041
1463,7038
1464,7035
1465,7031
1466,7028
1467,7025
1468,7022
1469,7018
1470,7015
1471,7012
1472,7008
1473,7005
1474,7002
1475,6999
1476,6995
1477,6992
1478,6989
1479,6985
1480,6982
1481,6979
1482,6976
1483,6972
1484,6969
1485,6966
1486,6963
1487,6959
1488,6956
1489,6953
1490,6949
1491,6946
1492,6943
1493,6940
1494,6936
1495,6933
1496,6930
1497,6926
1498,6923
1499,6920
1500,6917
1501,6913
1502,6910
1503,6907
1504,6903
1505,6900
1506,6897
1507,6894
1508,6890
1509,6887
1510,6884
1511,6881
1512,6877
1513,6874
1514,6871
1515,6867
1516,6864
1517,6861
1518,6858
1519,6854
1520,6851
1521,6848
1522,6844
1523,6841
1524,6838
1525,6835
1526,6831
1527,6828
1528,6825
1529,6822
1530,6818
1531,6815
1532,6812
1533,6808
1534,6805
1535,6802
1536,6799
1537,6795
1538,6792
1539,6789
1540,6785
1541,6782
1542,6779
1543,6776
1544,6772
1545,6769
1546,6766
1547,6762
1548,6759
1549,6756
1550,6753
1551,6749
1552,6746
1553,6743
1554,6740
1555,6736
1556,6733
1557,6730
1558,6726
1559,6723
1560,6720
1561,6717
1562,6713
1563,6710
1564,6707
1565,6703
1566,6700
1567,6697
1568,6694
1569,6690
1570,6687
1571,6684
1572,6681
1573,6677
1574,6674
1575,6671
1576,6667
1577,6664
1578,6661
1579,6658
1580,6654
1581,6651
1582,6648
1583,6644
1584,6641
1585,6638
1586,6635
1587,6631
1588,6628
1589,6625
1590,6622
1591,6618
1592,6615
1593,6612
1594,6608
1595,6605
1596,6602
1597,6599
1598,6595
1599,6592
1600,6589
1601,6585
1602,6582
1603,6579
1604,6576
1605,6572
1606,6569
1607,6566
1608,6562
1609,6559
1610,6556
1611,6553
1612,6549
1613,6546
1614,6543
1615,6540
1616,6536
1617,6533
1618,6530
1619,6526
1620,6523
1621,6520
1622,6517
1623,6513
1624,6510
1625,6507
1626,6503
1627,6500
1628,6497
1629,6494
1630,6490
1631,6487
1632,6484
1633,6481
1634,6477
1635,6474
1636,6471
1637,6467
1638,6464
1639,6461
1640,6458
1641,6454
1642,6451
1643,6448
1644,6444
1645,6441
1646,6438
1647,6435
1648,6431
1649,6428
1650,6425
1651,6422
1652,6418
1653,6415
1654,6412
1655,6408
1656,6405
1657,6402
1658,6399
1659,6395
1660,6392
1661,6389
1662,6385
1663,6382
1664,6379
1665,6376
1666,6372
1667,6369
1668,6366
1669,6362
1670,6359
1671,6356
1672,6353
1673,6349
1674,6346
1675,6343
1676,6340
1677,6336
1678,6333
1679,6330
1680,6326
1681,6323
1682,6320
1683,6317
1684,6313
1685,6310
1686,6307
1687,6303
1688,6300
1689,6297
1690,6294
1691,6290
1692,6287
1693,6284
1694,6281
1695,6277
1696,6274
1697,6271
1698,6267
1699,6264
1700,6261
1701,6258
1702,6254
1703,6251
1704,6248
1705,6244
1706,6241
1707,6238
1708,6235
1709,6231
1710,6228
1711,6225
1712,6222
1713,6218
1714,6215
1715,6212
1716,6208
1717,6205
1718,6202
1719,6199
1720,6195
1721,6192
1722,6189
1723,6185
1724,6182
1725,6179
1726,6176
1727,6172
1728,6169
1729,6166
1730,6162
1731,6159
1732,6156
1733,6153
1734,6149
1735,6146
1736,6143
1737,6140
1738,6136
1739,6133
1740,6130
1741,6126
1742,6123
1743,6120
1744,6117
1745,6113
1746,6110
1747,6107
1748,6103
1749,6100
1750,6097
1751,6094
1752,6090
1753,6087
1754,6084
1755,6081
1756,6077
1757,6074
1758,6071
1759,6067
1760,6064
1761,6061
1762,6058
1763,6054
1764,6051
1765,6048
1766,6044
1767,6041
1768,6038
1769,6035
1770,6031
1771,6028
1772,6025
1773,6022
1774,6018
1775,6015
1776,6012
1777,6008
1778,6005
1779,6002
1780,5999
1781,5995
1782,5992
1783,5989
1784,5985
1785,5982
1786,5979
1787,5976
1788,5972
1789,5969
1790,5966
1791,5962
1792,5959
1793,5956
1794,5953
1795,5949
1796,5946
1797,5943
1798,5940
1799,5936
1800,5933
1801,5930
1802,5926
1803,5923
1804,5920
1805,5917
1806,5913
1807,5910
1808,5907
1809,5903
1810,5900
1811,5897
1812,5894
1813,5890
1814,5887
1815,5884
1816,5881
1817,5877
1818,5874
1819,5871
1820,5867
1821,5864
1822,5861
1823,5858
1824,5854
1825,5851
1826,5848
1827,5844
1828,5841
1829,5838
1830,5835
1831,5831
1832,5828
1833,5825
1834,5822
1835,5818
1836,5815
1837,5812
1838,5808
1839,5805
1840,5802
1841,5799
1842,5795
1843,5792
1844,5789
1845,5785
1846,5782
1847,5779
1848,5776
1849,5772
1850,5769
1851,5766
1852,5762
1853,5759
1854,5756
1855,5753
1856,5749
1857,5746
1858,5743
1859,5740
1860,5736
1861,5733
1862,5730
1863,5726
1864,5723
1865,5720
1866,5717
1867,5713
1868,5710
1869,5707
1870,5703
1871,5700
1872,5697
1873,5694
1874,5690
1875,5687
1876,5684
1877,5681
1878,5677
1879,5674
1880,5671
1881,5667
1882,5664
1883,5661
1884,5658
1885,5654
1886,5651
1887,5648
1888,5644
1889,5641
1890,5638
1891,5635
1892,5631
1893,5628
1894,5625
1895,5622
1896,5618
1897,5615
1898,5612
1899,5608
1900,5605
1901,5602
1902,5599
1903,5595
1904,5592
1905,5589
1906,5585
1907,5582
1908,5579
1909,5576
1910,5572
1911,5569
1912,5566
1913,5562
1914,5559
1915,5556
1916,5553
1917,5549
1918,5546
1919,5543
1920,5540
1921,5536
1922,5533
1923,5530
1924,5526
1925,5523
1926,5520
1927,5517
1928,5513
1929,5510
1930,5507
1931,5503
1932,5500
1933,5497
1934,5494
1935,5490
1936,5487
1937,5484
1938,5481
1939,5477
1940,5474
1941,5471
1942,5467
1943,5464
1944,5461
1945,5458
1946,5454
1947,5451
1948,5448
1949,5444
1950,5441
1951,5438
1952,5435
1953,5431
1954,5428
1955,5425
1956,5422
1957,5418
1958,5415
1959,5412
1960,5408
1961,5405
1962,5402
1963,5399
1964,5395
1965,5392
